Hop1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hop1,,,,,,,,
beginning hop,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Time,M1,M2,M4,M5,M6,M7,M8,M3
58343,8.09,5.96,0.21,-0.07,16.39,4.73,6.13,1.19,,2003,8.09,5.96,0.21,-0.07,16.39,4.73,6.13,1.19
58359,17.23,17.03,0.53,14.19,10.95,9.25,8.59,6.59,,2019,17.23,17.03,0.53,14.19,10.95,9.25,8.59,6.59
58375,8.08,8.26,0.67,7.14,6.95,6.88,6.77,6.85,,2035,8.08,8.26,0.67,7.14,6.95,6.88,6.77,6.85
58391,6.6,6.37,7.7,7.8,8.22,8.61,0.2,9.76,,2051,6.6,6.37,7.7,7.8,8.22,8.61,0.2,9.76
58409,1.14,-0.62,16.86,-4.22,-3.08,-3.75,-14.69,17.78,,2069,1.14,-0.62,16.86,-4.22,-3.08,-3.75,-14.69,17.78
58425,-4.62,0.56,7.92,-2.68,-1.64,-2.71,-3.53,-1.42,,2085,-4.62,0.56,7.92,-2.68,-1.64,-2.71,-3.53,-1.42
58441,-0.71,-1.93,7.29,-1.03,-1.1,-0.81,-2.58,1.24,,2101,-0.71,-1.93,7.29,-1.03,-1.1,-0.81,-2.58,1.24
58457,-0.14,-1.49,-4.13,-0.32,1.09,0.24,0.53,-1.21,,2117,-0.14,-1.49,-4.13,-0.32,1.09,0.24,0.53,-1.21
58473,-0.57,-0.15,-3.46,0.23,-0.23,0.5,-0.27,-1.02,,2133,-0.57,-0.15,-3.46,0.23,-0.23,0.5,-0.27,-1.02
58489,0.42,-0.04,-1.08,-0.94,0.03,-0.37,-0.01,-0.26,,2149,0.42,-0.04,-1.08,-0.94,0.03,-0.37,-0.01,-0.26
58505,0.49,1.05,-0.01,0.27,-0.18,-0.4,0.71,0.4,,2165,0.49,1.05,-0.01,0.27,-0.18,-0.4,0.71,0.4
58521,-0.32,-0.81,0.95,0.16,-0.19,-0.21,-1.23,-0.11,,2181,-0.32,-0.81,0.95,0.16,-0.19,-0.21,-1.23,-0.11
58538,0.36,0.52,-0.31,0.22,-0.3,-0.34,0.4,-0.3,,2198,0.36,0.52,-0.31,0.22,-0.3,-0.34,0.4,-0.3
58554,-0.03,0.35,-0.45,-0.04,-0.05,-0.37,-0.75,0.21,,2214,-0.03,0.35,-0.45,-0.04,-0.05,-0.37,-0.75,0.21
58570,0.21,-0.2,0.37,-0.04,-0.39,-0.38,0.46,-0.11,,2230,0.21,-0.2,0.37,-0.04,-0.39,-0.38,0.46,-0.11
58586,-0.07,0.24,-0.04,-0.1,-0.34,-0.11,-0.69,-0.11,,2246,-0.07,0.24,-0.04,-0.1,-0.34,-0.11,-0.69,-0.11
58602,0.05,-0.19,-0.14,0.01,-0.09,-0.34,1.77,17.82,,2262,0.05,-0.19,-0.14,0.01,-0.09,-0.34,1.77,17.82
58618,0.42,-0.28,-0.1,0.54,-0.81,-1.31,-8.95,17.89,,2278,0.42,-0.28,-0.1,0.54,-0.81,-1.31,-8.95,17.89
58634,1.02,0.2,-0.32,-0.06,-1.35,0.02,-7.47,17.92,,2294,1.02,0.2,-0.32,-0.06,-1.35,0.02,-7.47,17.92
58651,-0.56,1.28,-0.15,-0.15,-0.17,-0.55,-11.61,17.74,,2311,-0.56,1.28,-0.15,-0.15,-0.17,-0.55,-11.61,17.74
58667,-0.41,0.9,-0.57,-0.04,-0.83,0.63,-7.68,13.91,,2327,-0.41,0.9,-0.57,-0.04,-0.83,0.63,-7.68,13.91
58683,-0.04,-1.26,-0.2,6.09,4.08,1.26,-3.83,7.93,,2343,-0.04,-1.26,-0.2,6.09,4.08,1.26,-3.83,7.93
58699,16.96,17.33,1.04,16.51,12.92,0.16,-0.28,-1.58,,2359,16.96,17.33,1.04,16.51,12.92,0.16,-0.28,-1.58
58715,-1.76,12.23,-0.42,2.21,4.11,-0.91,0.46,-0.28,,2375,-1.76,12.23,-0.42,2.21,4.11,-0.91,0.46,-0.28
58731,-0.3,1.93,1.51,-1.51,1.35,-1.1,-0.22,0.33,,2391,-0.3,1.93,1.51,-1.51,1.35,-1.1,-0.22,0.33
58748,-0.53,1.42,7.39,-0.93,-0.54,-1.13,-0.85,-0.82,,2408,-0.53,1.42,7.39,-0.93,-0.54,-1.13,-0.85,-0.82
58764,-0.46,1.49,-3.83,0.02,-0.17,-0.41,1.18,-0.36,,2424,-0.46,1.49,-3.83,0.02,-0.17,-0.41,1.18,-0.36
58780,-0.37,-0.53,1.02,-0.31,5.84,5.64,-1.37,0.38,,2440,-0.37,-0.53,1.02,-0.31,5.84,5.64,-1.37,0.38
58796,6.23,4.28,0.67,-0.14,5.7,7.16,1.79,1.79,,2456,6.23,4.28,0.67,-0.14,5.7,7.16,1.79,1.79
58812,7.04,3.47,-0.83,7.23,3.66,3.32,4.12,2.96,,2472,7.04,3.47,-0.83,7.23,3.66,3.32,4.12,2.96
58828,6.09,2.25,0.55,3.07,2.7,1.32,1.92,1.75,,2488,6.09,2.25,0.55,3.07,2.7,1.32,1.92,1.75
58845,1.11,1.2,0.3,0.5,2.12,-0.31,1.24,2.34,,2505,1.11,1.2,0.3,0.5,2.12,-0.31,1.24,2.34
58861,1.02,1.17,8.16,0.74,1.56,0.69,1.6,5.56,,2521,1.02,1.17,8.16,0.74,1.56,0.69,1.6,5.56
58877,1.36,0.57,1.48,1.9,1.07,1.75,3.05,8.6,,2537,1.36,0.57,1.48,1.9,1.07,1.75,3.05,8.6
58893,2,-0.5,1.28,1.66,0.84,3.19,2.49,7.38,,2553,2,-0.5,1.28,1.66,0.84,3.19,2.49,7.38
58909,1.98,-0.91,2.56,0.36,0.43,3.61,1.84,5.74,,2569,1.98,-0.91,2.56,0.36,0.43,3.61,1.84,5.74
58925,2.44,-0.78,4.4,0.42,0.74,3.66,2.14,5.07,,2585,2.44,-0.78,4.4,0.42,0.74,3.66,2.14,5.07
58942,2.95,0.08,5.74,1.16,1.71,3.4,2.18,4.51,,2602,2.95,0.08,5.74,1.16,1.71,3.4,2.18,4.51
58958,2.6,1.35,3.37,1.41,2.4,2.43,1.88,4.12,,2618,2.6,1.35,3.37,1.41,2.4,2.43,1.88,4.12
58974,2.27,2.83,2.84,0.95,2.81,2.05,1.26,3.75,,2634,2.27,2.83,2.84,0.95,2.81,2.05,1.26,3.75
58990,1.96,2.74,3.02,0.54,2.96,1.94,0.97,3.7,,2650,1.96,2.74,3.02,0.54,2.96,1.94,0.97,3.7
59006,2.12,2.63,2.63,0.87,2.95,2.34,1.26,3.9,,2666,2.12,2.63,2.63,0.87,2.95,2.34,1.26,3.9
59022,2.32,2.18,2.38,0.51,2.35,2.85,1.42,4.51,,2682,2.32,2.18,2.38,0.51,2.35,2.85,1.42,4.51
59038,2.37,1.28,2.43,1.01,1.79,3.02,1.84,4.81,,2698,2.37,1.28,2.43,1.01,1.79,3.02,1.84,4.81
59055,2.14,0.98,2.59,0.94,1.45,3.27,2.16,5.16,,2715,2.14,0.98,2.59,0.94,1.45,3.27,2.16,5.16
59071,1.99,0.54,2.85,1.32,1.17,2.71,1.91,5.23,,2731,1.99,0.54,2.85,1.32,1.17,2.71,1.91,5.23
59087,2.09,0.3,3.08,1.25,1.05,2.38,1.94,5.34,,2747,2.09,0.3,3.08,1.25,1.05,2.38,1.94,5.34
59103,1.75,0.69,3.05,1.8,1.33,2.46,2.04,4.91,,2763,1.75,0.69,3.05,1.8,1.33,2.46,2.04,4.91
59119,1.89,1.04,3.1,1.01,1.82,2.57,1.89,4.69,,2779,1.89,1.04,3.1,1.01,1.82,2.57,1.89,4.69
59135,2.02,1.52,3.4,1.21,2.13,2.86,1.6,4.18,,2795,2.02,1.52,3.4,1.21,2.13,2.86,1.6,4.18
59152,2.23,2.21,3.18,1.03,2.39,2.68,1.57,4.36,,2812,2.23,2.21,3.18,1.03,2.39,2.68,1.57,4.36
59168,2.04,2.16,2.98,1.13,2.39,2.83,1.5,3.75,,2828,2.04,2.16,2.98,1.13,2.39,2.83,1.5,3.75
59184,2.23,2.2,2.62,0.64,2.5,2.76,1.53,4.08,,2844,2.23,2.2,2.62,0.64,2.5,2.76,1.53,4.08
61105,2.35,1.55,2.87,1.57,1.93,2.52,1.71,4.47,,4765,2.35,1.55,2.87,1.57,1.93,2.52,1.71,4.47
61121,1.84,1.95,2.92,1.97,2.03,2.15,1.88,4.21,,4781,1.84,1.95,2.92,1.97,2.03,2.15,1.88,4.21
61137,2.06,1.85,2.96,1.76,1.99,2.12,1.75,4.58,,4797,2.06,1.85,2.96,1.76,1.99,2.12,1.75,4.58
61153,2.12,1.56,2.61,1.26,1.68,2.82,1.44,4.81,,4813,2.12,1.56,2.61,1.26,1.68,2.82,1.44,4.81
61169,2.28,1.6,2.79,0.64,1.73,3.27,1.37,5.29,,4829,2.28,1.6,2.79,0.64,1.73,3.27,1.37,5.29
61186,2.36,1.31,2.82,0.87,2.02,3.38,1.26,5.24,,4846,2.36,1.31,2.82,0.87,2.02,3.38,1.26,5.24
61202,2.42,1.25,2.87,0.91,1.63,2.71,1.69,4.56,,4862,2.42,1.25,2.87,0.91,1.63,2.71,1.69,4.56
61218,2.09,1.6,3,1.31,1.74,2.47,2.05,4.52,,4878,2.09,1.6,3,1.31,1.74,2.47,2.05,4.52
61234,2.03,1.85,3.14,1.83,1.79,2.04,1.72,4.43,,4894,2.03,1.85,3.14,1.83,1.79,2.04,1.72,4.43
61250,2.14,2.05,3.22,1.68,1.63,2.36,1.73,4.8,,4910,2.14,2.05,3.22,1.68,1.63,2.36,1.73,4.8
61266,2.29,1.54,3.15,1.16,1.75,2.86,1.45,5.19,,4926,2.29,1.54,3.15,1.16,1.75,2.86,1.45,5.19
61282,2.4,1.3,3.2,1.01,1.84,3.21,1.3,5.37,,4942,2.4,1.3,3.2,1.01,1.84,3.21,1.3,5.37
61298,2.54,1.18,3.32,0.99,1.84,2.8,1.51,5.04,,4958,2.54,1.18,3.32,0.99,1.84,2.8,1.51,5.04
61314,2.37,1.15,3.35,0.77,1.93,2.77,1.58,4.94,,4974,2.37,1.15,3.35,0.77,1.93,2.77,1.58,4.94
